PIXEL,Wavelength
a. u.,nm
564,714.572133460864
565,715.028780124193
566,715.485394371024
567,715.941976250416
568,716.398525811425
569,716.855043103112
570,717.311532182615
571,717.767981074751
572,718.224401852819
573,718.680790557798
574,719.137147238745
575,719.59347194472
576,720.04976472478
577,720.506025627984
578,720.96225470339
579,721.418452000057
580,721.874617567043
581,722.330751453406
582,722.786853708204
583,723.242924380497
584,723.698963519342
585,724.154975070087
586,724.610947392923
587,725.066892225776
588,725.522805721414
589,725.978687928897
590,726.434538897282
591,726.890358675629
592,727.346147312994
593,727.801904858437
594,728.257631361016
595,728.713326869789
596,729.168991433815
597,729.624625102152
598,730.080227923859
599,730.535799947993
600,730.991341223613
601,731.446851799778
602,731.902331725546
603,732.357781049975
604,732.813199822124
605,733.268588091051
606,733.723945905815
607,734.179273315472
608,734.634570369082
609,735.089837115704
610,735.545073604397
611,736.000279884217
612,736.455456004223
613,736.910602013475
614,737.365717961029
615,737.820803895945
616,738.275859867282
617,738.730885924096
618,739.185882115447
619,739.640848490393
620,740.095785097992
621,740.550691987303
622,741.005569207384
623,741.460416807294
624,741.91523483609
625,742.370023342831
626,742.824782376576
627,743.279511986384
628,743.734212221311
629,744.188883130417
630,744.64352476276
631,745.098137167397
632,745.552720393389
633,746.007274489793
634,746.461799505667
635,746.916295490071
636,747.370762492061
637,747.825200560696
638,748.279609745036
639,748.733990094137
640,749.18834165706
641,749.642664482861
642,750.096958620599
643,750.55122753437
644,751.005461028122
645,751.459669396022
646,751.913849272093
647,752.368000705393
648,752.822123744981
649,753.276218439915
650,753.730284839252
651,754.184322992052
652,754.638332947374
653,755.092314754274
654,755.546268461812
655,756.000194119046
656,756.454091775035
657,756.907961478836
658,757.361803279508
659,757.815617226109
660,758.269403367698
661,758.723161753333
662,759.176892432073
663,759.630595452976
664,760.0842708651
665,760.537918717504
666,760.991539059245
667,761.445131939383
668,761.898697406975
669,762.352235511081
670,762.805746300757
671,763.259232985614
672,763.712686133058
673,764.1661152738
674,764.619517296345
675,765.072892249754
676,765.526240183085
677,765.979561145396
678,766.432855185744
679,766.886122353189
680,767.339362696789
681,767.792576265603
682,768.245763108688
683,768.698923275104
684,769.152056813908
685,769.605163774158
686,770.058244204914
687,770.511298155233
688,770.964325674174
689,771.417326810795
690,771.870301614155
691,772.32325310564
692,772.776172417324
693,773.22906851525
694,773.681938476147
695,774.134782349076
696,774.587600183093
697,775.040392027256
698,775.493157930625
699,775.945897942259
700,776.398612111215
701,776.85130048655
702,777.303963117326
703,777.756600052598
704,778.209211341425
705,778.661797032867
706,779.114357175981
707,779.566891819826
708,780.019401013459
709,780.47188480594
710,780.924343246328
711,781.376776383679
712,781.829184267053
713,782.281566945507
714,782.733924468101
715,783.186256883892
716,783.63856424194
717,784.090846591301
718,784.543103981035
719,784.9953364602
720,785.447544077856
721,785.899726883057
722,786.351884924866
723,786.804018252339
724,787.256126914534
725,787.708210960512
726,788.160270439329
727,788.612305400043
728,789.064315891713
729,789.516301963399
730,789.968263664157
731,790.420201043047
732,790.872114149126
733,791.324003031453
734,791.775867739087
735,792.227708321086
736,792.679524826508
737,793.131317304411
738,793.583085803854
739,794.034830373895
740,794.486551063593
741,794.938247922006
742,795.389923474645
743,795.84157034121
744,796.293196000118
745,796.744798023974
746,797.196376461837
747,797.647931362766
748,798.099462775817
749,798.550970750051
750,799.002455334524
751,799.453916578296
752,799.905354530425
753,800.356769239969
754,800.808160755988
755,801.259529127538
756,801.710874403678
757,802.162196633467
758,802.613495865963
759,803.064772150225
760,803.51602553531
761,803.967256070278
762,804.418463804185
763,804.869648786093
764,805.320811065057
765,805.771950690137
766,806.22306771039
767,806.674162174875
768,807.125234132652
769,807.576283632778
770,808.027310724311
771,808.47831545631
772,808.929297877833
773,809.380258037938
774,809.831195985684
775,810.282111770129
776,810.733007580622
777,811.183877045352
778,811.634726634245
779,812.085554256071
780,812.536359959888
781,812.987143794753
782,813.437905809727
783,813.888646053867
784,814.339364576232
785,814.790061425878
786,815.240736651866
787,815.691390303255
788,816.1420224291
789,816.592633078462
790,817.043222300399
791,817.493790143969
792,817.94433665823
793,818.39486189224
794,818.845365895059
795,819.295848715743
796,819.746310403353
797,820.196751006946
798,820.64717057558
799,821.097569158314
800,821.547946804206
801,821.998303562315
802,822.4486394817
803,822.898954611416
804,823.349249000525
805,823.799522698084
806,824.249775753151
807,824.700008214785
808,825.150220132043
809,825.600411553986
810,826.05058252967
811,826.500733108154
812,826.950863338497
813,827.400973269757
814,827.851062950992
815,828.30113243126
816,828.75118175962
817,829.201210985131
818,829.651220156851
819,830.101209323837
820,830.551178535149
821,831.001127839845
822,831.451057286983
823,831.900966925621
824,832.350856804818
825,832.800726973632
826,833.250577481122
827,833.700408376346
828,834.150219708362
829,834.600011526229
830,835.049783879005
831,835.499536815748
832,835.949270385517
833,836.39898463737
834,836.848679620365
835,837.298355383561
836,837.748011976017
837,838.197650992617
838,838.647267844939
839,839.096867219521
840,839.546447619598
841,839.996009094223
842,840.44555169246
843,840.895075463363
844,841.344580455993
845,841.794066719407
846,842.243534302664
847,842.692983254822
848,843.142413624939
849,843.591825462075
850,844.041218815286
851,844.490593733632
852,844.939950266171
853,845.389288461961
854,845.838608370061
